City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
vagur,61.4732,-6.8119,54.57,89,10,10.51,FO,1630172252
puerto leguizamo,-0.1934,-74.7819,90.43,50,84,3.38,CO,1630172253
valentin gomez farias,28.2167,-106.5833,78.58,44,1,11.95,MX,1630172253
san carlos de bariloche,-41.1456,-71.3082,49.75,62,40,17.27,AR,1630172253
inyonga,-6.7167,32.0667,76.78,25,1,2.48,TZ,1630172253
shache,38.4167,77.2406,76.87,27,100,7.52,CN,1630172254
pelym,61.0108,61.9978,46.74,73,61,2.37,RU,1630172254
tiznit,29.5833,-9.5,80.01,40,0,7.54,MA,1630172083
saint marys,30.7305,-81.5465,90.23,72,75,1.99,US,1630172116
wairoa,-39.0333,177.3667,53.6,99,100,2.1,NZ,1630172254
kungurtug,50.5994,97.5228,48.81,86,48,3.0,RU,1630172255
huarmey,-10.0681,-78.1522,69.37,69,31,10.63,PE,1630172255
freeport,40.6576,-73.5832,76.98,69,90,8.99,US,1630172006
valladolid,41.5833,-4.6667,86.85,27,37,6.24,ES,1630172255
kudahuvadhoo,2.6708,72.8944,83.26,72,97,17.2,MV,1630172255
broome,42.2506,-75.833,78.19,69,90,1.01,US,1630172256
lorengau,-2.0226,147.2712,81.61,78,100,10.09,PG,1630172118
oistins,13.0667,-59.5333,87.89,70,75,23.02,BB,1630172256
grand bank,47.0999,-55.765,64.4,74,100,20.85,CA,1630172256
merrill,45.1805,-89.6835,80.37,76,75,9.22,US,1630172257
daru,-9.0763,143.2092,77.79,93,99,11.07,PG,1630172257
fort nelson,58.8053,-122.7002,53.19,87,75,3.44,CA,1630172257
broken hill,-31.95,141.4333,46.11,46,32,8.05,AU,1630172257
acapulco,16.8634,-99.8901,75.02,94,90,5.75,MX,1630172258
dalvik,65.9702,-18.5286,60.73,57,91,5.88,IS,1630172258
nouadhibou,20.931,-17.0347,82.38,61,14,10.36,MR,1630172258
lompoc,34.6391,-120.4579,91.11,100,90,0.0,US,1630172259
xiaoweizhai,26.1903,107.5125,66.85,98,99,3.09,CN,1630172259
otradnoye,59.7775,30.8181,66.25,77,53,5.46,RU,1630172259
severomorsk,69.0689,33.4162,46.8,81,98,9.1,RU,1630172259
tamandare,-8.7597,-35.1047,79.45,71,41,9.89,BR,1630172119
miramar,25.9873,-80.2323,92.01,69,75,18.41,US,1630172009
gifhorn,52.4833,10.55,61.9,94,75,3.44,DE,1630172260
shumikha,55.2261,63.2961,50.52,64,82,7.74,RU,1630172260
singaparna,-7.3515,108.111,68.27,97,72,0.58,ID,1630172260
ovalle,-30.5983,-71.2003,80.51,18,32,4.88,CL,1630172261
chumikan,54.7183,135.315,50.88,88,100,5.26,RU,1630172261
kamenka,51.3223,42.7678,66.9,43,4,9.19,RU,1630172261
marystown,47.1666,-55.1483,56.97,75,92,19.8,CA,1630172261
sur,22.5667,59.5289,82.31,72,7,14.52,OM,1630172262
gornorechenskiy,44.2624,135.1133,57.25,91,33,3.67,RU,1630172262
cap malheureux,-19.9842,57.6142,71.47,91,100,8.99,MU,1630172262
bongandanga,1.5,21.05,75.52,75,42,1.63,CD,1630172262
saint-joseph,-21.3667,55.6167,68.38,85,97,10.07,RE,1630172263
formosa,-26.1775,-58.1781,76.98,50,0,6.91,AR,1630172263
svetlogorsk,52.6333,29.7333,56.34,84,28,6.31,BY,1630172263
bilma,18.6853,12.9164,102.99,14,53,5.3,NE,1630172263
sardarshahr,28.4333,74.4833,94.8,38,97,7.74,IN,1630172264
tiksi,71.6872,128.8694,35.37,98,100,19.04,RU,1630172264
victor harbor,-35.5667,138.6167,51.89,89,73,8.72,AU,1630172264
mnogovershinnyy,53.9353,139.9242,53.26,99,100,4.63,RU,1630172264
maneadero,31.7167,-116.5667,85.69,50,4,7.63,MX,1630172265
malanje,-9.5402,16.341,78.82,50,31,7.56,AO,1630172265
oranjemund,-28.55,16.4333,53.44,69,4,20.42,NA,1630172048
narsaq,60.9167,-46.05,50.22,47,100,4.16,GL,1630172265
kangaatsiaq,68.3065,-53.4641,39.94,78,99,15.46,GL,1630172266
tupik,54.4253,119.9327,40.41,83,4,0.96,RU,1630172266
maniitsoq,65.4167,-52.9,41.56,97,100,9.62,GL,1630172266
wattegama,6.7989,81.4808,78.78,71,100,8.43,LK,1630172266
talnakh,69.4865,88.3972,38.5,91,100,6.4,RU,1630172267
nemuro,43.3236,145.575,62.78,89,1,6.93,JP,1630172267
la vega,19.2221,-70.5296,92.28,35,1,16.06,DO,1630172267
ouango,4.3133,22.5552,71.19,99,73,2.42,CF,1630172268
llandrindod wells,52.2416,-3.3787,67.64,74,37,4.38,GB,1630172268
kabare,-2.4683,28.8242,68.18,65,46,3.62,CD,1630172268
qingquan,30.4511,115.2559,75.56,92,70,4.0,CN,1630172268
niksar,40.5917,36.9517,73.6,76,0,3.83,TR,1630172269
pacific grove,36.6177,-121.9166,95.81,71,1,1.99,US,1630171979
estrela,-28.0611,-50.9383,57.63,79,88,8.05,BR,1630172269
ust-kan,50.9276,84.761,49.35,69,29,2.48,RU,1630172269
westport,41.1415,-73.3579,76.08,76,75,1.01,US,1630172270
hanzhong,33.0728,107.0303,63.66,98,67,1.68,CN,1630172270
arkhara,49.4212,130.0842,43.27,96,5,4.92,RU,1630172270
walvis bay,-22.9575,14.5053,58.08,46,0,28.32,NA,1630172094
enid,36.3956,-97.8784,93.02,52,1,10.0,US,1630172271
grosuplje,45.9556,14.6589,59.38,87,68,3.74,SI,1630172271
ouidah,6.3631,2.0851,82.26,87,66,11.14,BJ,1630172271
tremedal,-14.9758,-41.4108,81.66,40,89,7.49,BR,1630172271
neiafu,-18.65,-173.9833,72.28,64,20,17.92,TO,1630172272
daugai,54.3667,24.3333,60.03,98,100,8.57,LT,1630172272
bonavista,48.6499,-53.1147,55.4,84,100,26.93,CA,1630172272
tura,25.5198,90.2201,72.79,95,100,2.62,IN,1630172273
santa lucia,27.9117,-15.5407,72.77,54,20,23.02,ES,1630172273
kharp,66.8014,65.8081,49.03,70,100,11.05,RU,1630172273
mae sai,20.4335,99.8762,74.52,98,97,1.77,TH,1630172273
assiniboia,49.6334,-105.9845,64.31,77,87,13.8,CA,1630172274
isla vista,34.4133,-119.861,106.07,40,0,4.29,US,1630172192
honningsvag,70.9821,25.9704,46.67,74,98,15.23,NO,1630172274
buraydah,26.326,43.975,100.85,11,2,10.71,SA,1630172274
duluth,46.7833,-92.1066,72.05,97,90,1.99,US,1630172275
kholmogory,64.2229,41.656,48.31,82,97,4.23,RU,1630172275
amapa,1.0,-52.0,85.1,64,47,2.06,BR,1630172275
revelstoke,50.9832,-118.2023,59.02,67,1,2.3,CA,1630172275
bulaevo,54.9056,70.4439,52.14,90,96,9.71,KZ,1630172276
eenhana,-17.4667,16.3333,72.88,20,0,6.98,NA,1630172276
kidal,18.4411,1.4078,92.41,28,36,13.13,ML,1630172276
yushan,31.3776,120.9543,84.09,93,100,3.11,CN,1630172276
vilhena,-12.7406,-60.1458,89.82,40,20,6.91,BR,1630172277
hualmay,-11.0964,-77.6139,68.67,67,29,10.42,PE,1630172277
aykhal,66.0,111.5,40.68,77,99,11.5,RU,1630172277
suntar,62.1444,117.6319,47.52,90,39,5.57,RU,1630172278
katangli,51.7102,143.2326,53.71,99,100,8.25,RU,1630172012
bardiyah,31.7561,25.0865,82.67,59,0,4.32,LY,1630172278
piacabucu,-10.4056,-36.4344,79.02,67,21,10.11,BR,1630172278
milagres,-7.3133,-38.9456,93.34,25,100,7.9,BR,1630172278
comonfort,20.7167,-100.7667,74.21,54,100,7.96,MX,1630172279
aragats,40.4889,44.3528,76.57,65,20,6.67,AM,1630172279
sao jose da coroa grande,-8.8978,-35.1478,79.07,72,35,10.25,BR,1630172279
salym,60.0625,71.4789,45.73,70,95,3.74,RU,1630172015
sombrio,-29.1139,-49.6167,68.94,64,29,12.62,BR,1630172280
panan,15.2134,120.0272,78.84,75,100,3.69,PH,1630172280
sioux lookout,50.1001,-91.917,64.78,94,90,6.91,CA,1630172280
ust-nera,64.5667,143.2,44.38,87,54,4.88,RU,1630172280
maceio,-9.6658,-35.7353,81.84,65,40,10.36,BR,1630172159
bubaque,11.2833,-15.8333,80.83,78,99,11.45,GW,1630172281
windsor,42.3001,-83.0165,92.03,67,1,1.99,CA,1630172281
coahuayana,18.7333,-103.6833,80.08,99,100,10.8,MX,1630172281
praia da vitoria,38.7333,-27.0667,80.85,83,20,11.68,PT,1630172282
snasa,64.2457,12.3778,58.3,71,0,2.17,NO,1630172282
waddan,29.1614,16.139,98.17,13,52,7.54,LY,1630172282
palm coast,29.585,-81.2078,89.82,62,100,4.0,US,1630172133
genhe,50.7833,121.5167,39.83,87,9,3.98,CN,1630172283
bichura,50.5881,107.6022,53.51,71,0,4.63,RU,1630172283
ha tinh,18.3333,105.9,76.15,92,97,2.53,VN,1630172283
floro,61.5996,5.0328,58.96,77,0,12.66,NO,1630172283
kendari,-3.945,122.4989,72.63,97,100,2.89,ID,1630172284
yulara,-25.2406,130.9889,48.04,29,0,5.75,AU,1630171999
severo-kurilsk,50.6789,156.125,54.91,95,100,3.85,RU,1630172284
mareeba,-17.0,145.4333,68.72,96,44,2.8,AU,1630172284
zhuanghe,39.7008,122.9911,69.67,72,99,6.13,CN,1630172285
baymak,52.5933,58.3225,50.13,79,73,12.37,RU,1630172285
nan,18.8333,100.6667,71.06,97,55,0.69,TH,1630172285
alofi,-19.0595,-169.9187,58.89,94,99,1.14,NU,1630172285
batticaloa,7.7102,81.6924,82.94,64,100,12.1,LK,1630172286
bukachacha,52.9833,116.9167,46.56,83,22,3.33,RU,1630172286
muravlenko,63.7898,74.523,46.83,73,99,12.64,RU,1630172286
srednekolymsk,67.45,153.6833,38.97,61,100,9.22,RU,1630172287
marsaxlokk,35.8419,14.5431,84.07,65,0,10.36,MT,1630172287
mitsamiouli,-11.3847,43.2844,76.15,67,17,4.0,KM,1630172287
dunedin,-45.8742,170.5036,45.81,88,34,5.12,NZ,1630172287
dongli,23.5656,116.8194,78.78,94,90,0.0,CN,1630172288
constantine,36.365,6.6147,90.81,22,40,11.5,DZ,1630172288
saquisili,-0.8333,-78.6667,58.51,73,75,1.01,EC,1630172288
rock sound,24.9,-76.2,83.7,75,100,11.97,BS,1630172289
cidreira,-30.1811,-50.2056,62.92,75,1,17.72,BR,1630172289
charters towers,-20.1,146.2667,62.83,93,22,6.58,AU,1630172289
korla,41.7597,86.1469,77.54,22,20,9.53,CN,1630172289
domoni,-12.2569,44.5319,73.13,73,6,7.36,KM,1630172290
villafranca de los barros,38.5614,-6.3381,86.81,44,17,11.7,ES,1630172290
xuddur,4.1213,43.8894,80.17,38,16,13.76,SO,1630172290
porto,41.1496,-8.611,71.04,73,20,1.01,PT,1630172226
guatire,10.4762,-66.5427,85.21,75,57,5.28,VE,1630172290
novyy urgal,51.0736,132.5642,54.25,96,100,4.7,RU,1630172291
deer lake,49.1667,-57.4316,62.46,55,75,13.8,CA,1630172238
digoin,46.4812,3.9795,68.09,49,0,11.5,FR,1630172291
kanashevo,55.2169,62.0634,52.36,53,16,10.38,RU,1630172291
izumo,35.3667,132.7667,75.15,93,60,6.33,JP,1630172292
andra,62.5147,65.8878,48.36,66,83,4.45,RU,1630172292
inongo,-1.95,18.2667,75.0,71,70,3.2,CD,1630172292
tazovskiy,67.4667,78.7,42.51,96,100,13.44,RU,1630172292
baillif,16.0202,-61.7463,89.1,62,88,12.01,GP,1630172293
san cristobal,7.7669,-72.225,77.18,41,82,7.76,VE,1630172293
valparaiso,-33.0393,-71.6273,68.23,55,0,5.75,CL,1630172293
terrasini,38.146,13.0844,85.71,58,0,6.91,IT,1630172294
dedougou,12.4667,-3.4667,84.88,65,83,3.0,BF,1630172294
san andres,12.5847,-81.7006,86.02,74,40,10.36,CO,1630172294
crateus,-5.1783,-40.6775,95.36,20,83,10.67,BR,1630172294
